,Company name Latin alphabet,Inactive,Quoted,Branch,OwnData,Country ISO code,"NACE Rev. 2, core code (4 digits)",Consolidation code,Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr",Number of publications,Number of live publications,Number of pending publications,Number of granted publications
1.,VOLKSWAGEN AG,No,Yes,No,No,DE,2910,C2,2022,"310,607,637","646,837","179,268","110,835","66,205","73,723"
2.,TOYOTA MOTOR CORPORATION,No,Yes,No,No,JP,2910,C2,2022,"278,351,047","375,235","598,073","389,401","255,063","209,466"
3.,MERCEDES-BENZ GROUP AG,No,Yes,No,No,DE,2910,C2,2022,"162,730,017","168,797","87,796","23,796","18,736","24,984"
4.,BAYERISCHE MOTOREN WERKE AG,No,Yes,No,No,DE,2910,C2,2022,"153,039,961","149,475","81,065","47,767","32,627","28,349"
5.,FIAT S.P.A.,Yes,No,No,No,IT,7010,C2,2013,"119,821,721",251,"2,139",1,n.a.,"1,550"
6.,ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,No,No,No,No,DE,2932,C2,2022,"98,824,709","413,811","556,414","261,469","181,743","202,990"
7.,"TESLA, INC.",No,Yes,No,No,US,2910,C1,2022,"81,462,000","127,855","4,385","4,143","2,415","1,864"
8.,KIA CORPORATION,No,Yes,No,No,KR,2910,C2,2022,"68,301,922",n.a.,"100,800","61,321","40,979","26,868"
9.,ZF FRIEDRICHSHAFEN AG,No,No,No,No,DE,2815,C2,2022,"48,550,542","162,614","136,531","49,654","34,563","54,313"
10.,AB VOLVO,No,Yes,No,No,SE,2910,C1,2022,"45,407,631","102,155","36,139","20,601","12,133","15,052"
11.,SUZUKI MOTOR CORPORATION,No,Yes,No,No,JP,2910,C2,2022,"34,774,078","70,012","19,149","13,704","9,771","6,634"
12.,VOLVO CAR AB,No,Yes,No,No,SE,2910,C1,2022,"31,896,559","46,345","7,714","6,145","2,751","4,142"
13.,MAZDA MOTOR CORPORATION,No,Yes,No,No,JP,2910,C2,2022,"28,669,104","48,481","31,104","12,970","8,231","15,648"
14.,SUBARU CORPORATION,No,Yes,No,No,JP,2910,C2,2022,"28,295,175","37,521","48,051","24,054","14,805","17,603"
15.,ISUZU MOTORS LIMITED,No,Yes,No,No,JP,2910,C2,2022,"23,940,193","44,495","42,181","19,081","13,406","12,802"
16.,VOLVO PERSONVAGNAR AKTIEBOLAG,No,No,No,No,SE,2910,U1,2022,"20,627,007","18,858","1,446",555,382,542
17.,APTIV PLC,No,Yes,No,No,GB,2932,C1,2022,"17,489,000","160,000","23,184","16,745","10,024","10,144"
18.,CHONGQING CHANGAN AUTOMOBILE COMPANY LIMITED,No,Yes,No,No,CN,2920,C1,2022,"16,845,239","42,894","21,938","19,829","10,877","11,058"
19.,SEAT SA,No,No,No,No,ES,2910,U1,2022,"11,662,625","14,456","1,823",950,527,"1,138"
20.,"DAIHATSU MOTOR CO.,LTD.",No,No,No,No,JP,2910,U2,2022,"11,185,196","12,000","21,568","15,075","10,701","6,256"
21.,DANA INCORPORATED,No,Yes,No,No,US,2932,C1,2022,"10,156,000","41,800","19,460","6,128","4,187","8,096"
22.,NAVISTAR INC,No,No,No,No,US,2910,C1,2020,"7,503,000","11,000","1,941",909,524,"1,050"
23.,"BEIQI FOTON MOTOR CO.,LTD.",No,Yes,No,No,CN,2830,C1,2022,"6,638,962","18,840","14,596","12,306","4,222","10,364"
24.,"ANHUI JIANGHUAI AUTOMOBILE (GROUP) CO., LTD.",Yes,No,No,No,CN,2932,C1,2014,"6,364,601",n.a.,n.a.,n.a.,n.a.,n.a.
25.,MAGNETI MARELLI GROUP,Yes,No,No,No,IT,2932,C1,1999,"4,219,383",n.a.,"7,082","1,860",930,"4,168"
