"","Node","DegreeCentrality","BetweennessCentrality","ClosenessCentrality","EigenvectorCentrality"
"TESLA MOTORS","TESLA MOTORS",1,0,0.00332225913621262,0.0384714308089757
"TOYOTA MOTOR ","TOYOTA MOTOR ",4,109.85,0.00431034482758621,0.289139336892083
"DANA HOLDING ","DANA HOLDING ",1,0,0.00294985250737463,0.00490323869983026
"KAMAZ","KAMAZ",3,137,0.00409836065573771,0.133387573558251
"FAURECIA","FAURECIA",2,69,0.0033003300330033,0.019127226782354
"ZHEJIANG GEELY HLDG GRP ","ZHEJIANG GEELY HLDG GRP ",6,398,0.00423728813559322,0.141209328707035
"ANHUI JIANGHUAI AUTO ","ANHUI JIANGHUAI AUTO ",3,137,0.0028169014084507,0.0366811823953023
"VOLKSWAGEN","VOLKSWAGEN",16,1169.66666666667,0.00617283950617284,0.925935602550205
"DRB-HICOM BHD","DRB-HICOM BHD",1,0,0.00432900432900433,0.123200349872743
"SOLLERS","SOLLERS",2,67.6666666666666,0.00363636363636364,0.138569442890243
"ANHUI ANCHI AUTO IND ","ANHUI ANCHI AUTO IND ",1,0,0.00235849056603774,0.00488061425913483
"NAVISTAR INTERNATIONAL ","NAVISTAR INTERNATIONAL ",2,201,0.00444444444444444,0.132961578391012
"DAIMLER","DAIMLER",11,889.766666666667,0.00558659217877095,0.967003851016734
"CHINA FAW GROUP ","CHINA FAW GROUP ",4,158.866666666667,0.00452488687782805,0.167606258954641
"FORD MOTOR ","FORD MOTOR ",8,125.916666666667,0.00434782608695652,1
"UZAVTOSANOAT JSC","UZAVTOSANOAT JSC",3,137,0.00305810397553517,0.00527692134465629
"SUNGWOO HITECH ","SUNGWOO HITECH ",1,0,0.00252525252525253,0.000702120702694704
"MAZDA MOTOR ","MAZDA MOTOR ",9,231.166666666667,0.0036101083032491,0.0414449368865831
"MARCOPOLO","MARCOPOLO",1,0,0.00319488817891374,0.0177478819107851
"DOGUS OTOMOTIV SERVIS VE","DOGUS OTOMOTIV SERVIS VE",1,0,0.00432900432900433,0.123200349872743
"VOLVO","VOLVO",10,823.033333333333,0.00561797752808989,0.342539454068159
"PATRIA INDUSTRY OYJ","PATRIA INDUSTRY OYJ",1,0,0.00404858299595142,0.0455765827236644
"BEIQI FOTON MOTOR ","BEIQI FOTON MOTOR ",3,137,0.00409836065573771,0.133387573558251
"RUSH GROUP LTD","RUSH GROUP LTD",1,0,0.00268817204301075,0.00254497291732937
"FIAT","FIAT",1,0,0.00289017341040462,0.00551445555265158
"BERMAZ MOTOR SDN BHD","BERMAZ MOTOR SDN BHD",1,0,0.00289017341040462,0.00551445555265154
"ALLISON TRANSMISSION HLDG","ALLISON TRANSMISSION HLDG",2,69,0.0037037037037037,0.0368512206715679
"AUSTEM ","AUSTEM ",1,0,0.00252525252525253,0.000702120702694695
"MAGNETI MARELLI","MAGNETI MARELLI",1,0,0.00235849056603774,0.00488061425913483
"ROBERT BOSCH","ROBERT BOSCH",1,0,0.00363636363636364,0.0246374764204497
"ZF FRIEDRICHSHAFEN","ZF FRIEDRICHSHAFEN",7,335,0.00485436893203883,0.185167628162173
"VOLVO-WORLDWIDE PASSENGER BUS","VOLVO-WORLDWIDE PASSENGER BUS",1,0,0.00404858299595142,0.0455765827236644
"BAOTOU BEI BEN HEAVY-DUTY","BAOTOU BEI BEN HEAVY-DUTY",1,0,0.00363636363636364,0.0246374764204497
"VOLVO PERSONVAGNAR","VOLVO PERSONVAGNAR",1,0,0.00327868852459016,0.0187886054430643
"KANDI TECHNOLOGY GROUP","KANDI TECHNOLOGY GROUP",1,0,0.00327868852459016,0.0187886054430643
"CHINA CHANG AN AUTO GRP ","CHINA CHANG AN AUTO GRP ",1,0,0.00289017341040462,0.00551445555265154
"BEIJING AUTOMOTIVE IND ","BEIJING AUTOMOTIVE IND ",1,0,0.00363636363636364,0.0246374764204497
"EICHER MOTORS","EICHER MOTORS",1,0,0.00404858299595142,0.0455765827236644
"SUMOTORI GROUP PJSC","SUMOTORI GROUP PJSC",1,0,0.00344827586206897,0.0223008486629108
"FARADAY&FUTURE","FARADAY&FUTURE",1,0,0.00327868852459016,0.0187886054430643
"SHANGHAI AUTOMOTIVE IND ","SHANGHAI AUTOMOTIVE IND ",1,0,0.00432900432900433,0.123200349872743
"WABCO HOLDING","WABCO HOLDING",1,0,0.00319488817891374,0.0177478819107851
"KIV GROUP","KIV GROUP",1,0,0.00319488817891374,0.0177478819107851
"PEUGEOT","PEUGEOT",4,332,0.00381679389312977,0.0382554620769573
"VOLVO CAR","VOLVO CAR",1,0,0.00404858299595142,0.0455765827236644
"HYUNDAI MOTOR ","HYUNDAI MOTOR ",9,705.55,0.00492610837438424,0.272059101524725
"GUSTAV MAGENWIRTH ","GUSTAV MAGENWIRTH ",1,0,0.00363636363636364,0.0246374764204497
"CHONGQING CHANGAN AUTO ","CHONGQING CHANGAN AUTO ",1,0,0.00344827586206897,0.0223008486629108
