"","X","Node","DegreeCentrality","BetweennessCentrality","ClosenessCentrality","EigenvectorCentrality"
"1","ALLISON TRANSMISSION HLDG","ALLISON TRANSMISSION HLDG",2,69,0.0037037037037037,0.0368512206715679
"2","ANHUI ANCHI AUTO IND","ANHUI ANCHI AUTO IND ",1,0,0.00235849056603774,0.00488061425913483
"3","ANHUI JIANGHUAI AUTO","ANHUI JIANGHUAI AUTO ",3,137,0.0028169014084507,0.0366811823953023
"4","ANHUI JIANGHUAI AUTO GRP","ANHUI JIANGHUAI AUTO GRP",1,0,0.00335570469798658,0.0166878566257494
"5","APTIV","APTIV",1,0,0.00367647058823529,0.0361988203084488
"6","AUDI","AUDI",6,176.533333333333,0.00523560209424084,0.614572352735621
"7","AURORA INNOVATION","AURORA INNOVATION",3,84.55,0.00492610837438424,0.204975752904856
"8","AUSTEM","AUSTEM ",1,0,0.00252525252525253,0.000702120702694695
"9","BAOTOU BEI BEN HEAVY-DUTY","BAOTOU BEI BEN HEAVY-DUTY",1,0,0.00363636363636364,0.0246374764204497
"10","BAYERISCHE MOTOREN WERKE","BAYERISCHE MOTOREN WERKE",6,14.3833333333333,0.00446428571428571,0.857746057014468
"11","BEIJING AUTOMOTIVE IND","BEIJING AUTOMOTIVE IND ",1,0,0.00363636363636364,0.0246374764204497
"12","BEIQI FOTON MOTOR","BEIQI FOTON MOTOR ",3,137,0.00409836065573771,0.133387573558251
"13","BERMAZ MOTOR SDN BHD","BERMAZ MOTOR SDN BHD",1,0,0.00289017341040462,0.00551445555265154
"14","BROSE FAHRZEUGTEILE","BROSE FAHRZEUGTEILE ",1,0,0.00432900432900433,0.123200349872743
"15","CHINA CHANG AN AUTO GRP","CHINA CHANG AN AUTO GRP ",1,0,0.00289017341040462,0.00551445555265154
"16","CHINA FAW GROUP","CHINA FAW GROUP ",4,158.866666666667,0.00452488687782805,0.167606258954641
"17","CHONGQING CHANGAN AUTO","CHONGQING CHANGAN AUTO ",1,0,0.00344827586206897,0.0223008486629108
"18","DAIHATSU MOTOR","DAIHATSU MOTOR ",5,0,0.00347222222222222,0.02322999309217
"19","DAIMLER","DAIMLER",11,889.766666666667,0.00558659217877095,0.967003851016734
"20","DAIMLER TRUCK","DAIMLER TRUCK",1,0,0.00404858299595142,0.0455765827236644
"21","DANA HOLDING","DANA HOLDING ",1,0,0.00294985250737463,0.00490323869983026
